Word                            Count
broken                              6
brother’s                           1
brought                             3
brown                               2
brush                               1
brushing                            1
burn                                2
burning                             1
burnt                               1
burst                               1
bursting                            1
busily                              4
business                            8
busy                                2
but                               129
butter                              3
buttercup                           1
buttered                            1
butterfly                           1
buttons                             1
by                                 85
by—the                              1
c                                   1
cackled                             1
cake                                3
cakes                               3
calculate                           1
calculated                          1
call                                5
called                             15
calling                             1
calmly                              1
came                               40
camomile                            1
can                                42
can;—but                            1
canary                              1
candle                              3
cannot                              5
canterbury                          1
canvas                              1
can—                                1
can’t                              27
capering                            1
capital                             4
card                                1
cardboard                           1
cards                               3
care                                4
carefully                           3
cares                               2
carried                             4
carrier                             1
carroll                             4
carry                               2
carrying                            2
cart-horse                          1
cartwheels                          1
case                                5
cat                                35
catch                               3
catching                            2
caterpillar                        28
caterpillar’s                       1
cats                               13
cattle                              1
cat’s                               2
caucus-race                         4
caught                              3
cauldron                            2
cause                               5
caused                              2
cautiously                          3
cease                               1
ceiling                             1
centre                              1
certain                             5
certainly                          13
chains                              1
chance                              4
chanced                             1
change                             13
changed                             8
changes                             2
changing                            2
chapter                            24
character                           2
charge                              6
charges                             2
charitable                          1
charities                           1
chatte                              1
cheap                               1
cheated                             1
check                               4
checked                             3
checks                              1
cheeks                              1
cheered                             3
cheerfully                          1
cherry-tart                         1
cheshire                            6
chief                               2
child                              10
child-life                          1
childhood                           1
children                           10
chimney                             5
chimney?—nay                        1
chimneys                            1
chin                                7
choice                              2
choke                               1
choked                              3
choking                             1
choose                              1
choosing                            1
chorus                              5
chose                               2
christmas                           1
chrysalis—you                       1
chuckled                            1
circle                              1
circumstances                       1
city                                1
civil                               3
claim                               1
clamour                             1
clapping                            1
clasped                             1
classics                            1
claws                               2
clean                               1
clear                               2
cleared                             1
clearer                             1
clearly                             2
clever                              2
climb                               1
clinging                            1
clock                               2
close                              13
closed                              2
closely                             1
closer                              1
clubs                               1
coast                               1
coaxing                             2
codes                               1
coils                               1
cold                                1
collected                           2
collection                          4
come                               29
comes                               2
comfits                             2
comfort                             1
comfortable                         1
comfortably                         1
coming                              8
commercial                          1
committed                           1
common                              1
commotion                           1
company                             1
compilation                         1
complained                          1
complaining                         1
completely                          1
compliance                          5
comply                              6
complying                           3
compressed                          1
computer                            2
computers                           2
concept                             2
concerning                          2
concert                             2
concluded                           2
conclusion                          2
condemn                             1
conduct                             1
confirmation                        1
confirmed                           1
confused                            4
confusing                           3
confusion                           5
conger-eel                          1
conqueror                           2
conquest                            1
consented                           1
consequential                       1
consider                            1
considerable                        2
considered                          3
considering                         3
constant                            3
consultation                        1
contact                             4
contain                             2
containing                          1
contempt                            1
contemptuous                        1
contemptuously                      2
content                             1
contents                            1
continued                           9
contract                            1
contradicted                        1
contributions                       2
conversation                        9
conversations                       2
convert                             1
cook                               13
cool                                2
copied                              2
copies                              7
copy                               12
copying                             4
copyright                          19
corner                              3
corners                             1
corner—no                           1
corporation                         1
corrupt                             1
cost                                4
costs                               2
could                              78
couldn’t                            9
counting                            1
countries                           1
country                             5
couple                              1
couples                             1
courage                             3
course                             25
course—‘_i                          1
court                              18
courtiers                           2
coward                              1
crab                                3
crash                               2
crash)—“now                         1
crashed                             1
crawled                             1
crawling                            1
crazy                               1
created                             2
creating                            4
creation                            1
creature                            4
creatures                           9
credit                              1
creep                               1
crept                               1
cried                              20
cries                               1
crimson                             2
critical                            1
crocodile                           1
croquet                             6
croquet-ground                      4
croqueted                           1
croqueting                          1
cross                               1
cross-examine                       2
crossed                             3
crossly                             1
crouched                            1
crowd                               4
crowded                             5
crown                               3
crumbs                              3
cry                                 3
crying                              2
cucumber-frame                      1
cucumber-frames                     1
cunning                             1
cup                                 2
cupboards                           2
cur                                 1
curiosity                           5
curious                            19
curiouser                           1
curled                              2
curls                               1
curly                               1
currants                            1
current                             1
curtain                             1
curtsey                             1
curtseying                          1
curving                             1
cushion                             2
custard                             1
custody                             2
cut                                 5
cutting                             1
d                                   1
dainties                            1
daisies                             1
daisy-chain                         1
damage                              2
damaged                             1
damages                             4
dance                              13
dancing                             2
dare                                5
daresay                             1
dark                                3
darkness                            1
data                                1
date                                3
dates                               1
daughter                            1
david                               2
day                                24
day-school                          1
days                                8
day—                                1
dead                                4
deal                               12
dear                               27
dear!’                              1
dears                               3
death.’                             1
decided                             3
decidedly                           4
declare                             2
declared                            1
deductible                          1
deep                                7
deepest                             1
deeply                              4
defect                              3
defective                           3
defects                             1
delay                               1
deletions                           1
delight                             3
delighted                           2
delightful                          2
demand                              1
denial                              1
denied                              2
denies                              1
deny                                2
denying                             1
depends                             2
derision                            1
derivative                          3
derive                              1
derived                             1
described                           1
deserved                            1
despair                             1
desperate                           1
desperately                         1
despite                             1
destroy                             2
detach                              1
determine                           1
diamonds                            1
dibianca                            2
did                                59
didn’t                             14
die                                 1
died                                1
different                          10
difficult                           2
difficulties                        1
difficulty                          4
dig                                 1
digging                             3
diligently                          1
dinah                              11
dinah’ll                            1
dinn                                1
dinner                              2
dinn—                               1
dipped                              2
direct                              1
directed                            2
direction                           5
directions                          3
directly                            3
director                            1
disagree                            1
disappeared                         2
disappointment                      1
disclaim                            1
disclaimer                          3
disclaimers                         1
discontinue                         1
discover                            1
discovered                          1
disgust                             1
dish                                4
dishes                              2
disk                                1
dismay                              1
disobey                             1
display                             1
displayed                           1
displaying                          4
dispute                             2
distance                            7
distance—but                        1
distant                             2
distraction                         1
distribute                          6
distributed                         4
distributing                        7
distribution                        6
distributor                         1
dive                                1
do                                 87
do.’                                1
do:—                                1
dodged                              1
dodo                               13
does                                9
doesn’t                            16
dog                                 2
dogs                                3
dog’s                               1
doing                               5
domain                              2
donate                              3
donation                            1
donations                          15
done                               15
donors                              1
don’t                              54
door                               28
doors                               2
doorway                             1
door—                               1
door—i                              1
dormouse                           39
dormouse’s                          1
doth                                3
double                              1
doubled-up                          1
doubling                            1
doubt                               4
doubtful                            2
doubtfully                          2
down                              102
downloading                         1
downward                            1
downwards                           1
down—here                           1
doze                                1
dozing                              1
dr                                  1
draggled                            1
draw                                7
drawing                             1
drawling                            1
drawling-master                     1
drawling—the                        1
dreadful                            2
dreadfully                          6
dream                               6
dream:—                             1
dreamed                             1
dreaming                            1
dreamy                              1
dressed                             1
drew                                5
dried                               1
driest                              1
drink                               4
drinking                            1
dripping                            1
drive                               1
drop                                1
dropped                             5
dropping                            1
drowned                             1
drunk                               2
dry                                 8
duchess                            39
duchess’s                           3
duck                                4
dull                                3
dunce                               1
e-mail                              1
each                                8
eager                               3
eagerly                             8
eaglet                              3
ear                                 6
earls                               2
earnestly                           2
ears                                4
ears—                               1
earth                               4
easily                              4
easy                                3
eat                                16
eaten                               1
eating                              1
eats                                1
eat’                                1
ebook                              12
ebooks                              7
edgar                               1
edge                                3
edition                             2
editions                            6
educational                         1
educations—in                       1
edwin                               1
eel                                 1
eels                                1
effect                              3
effort                              2
efforts                             3
egg                                 1
eggs                                5
ein                                 1
either                             10
elbow                               3
elbows                              1
elect                               1
electronic                         27
electronically                      2
elegant                             1
eleventh                            1
else                               10
else’s                              1
else’—but                           1
elsie                               1
email                               2
emphasis                            1
employee                            1
employees                           2
empty                               1
encoding                            1
encourage                           1
encouraged                          1
encouraging                         2
end                                20
ending                              1
energetic                           1
engaged                             1
england                             1
english                             7
engraved                            1
enjoy                               1
ennyworth                           1
enormous                            1
enough                             17
enough—i                            1
ensuring                            1
entangled                           2
entirely                            2
entity                              3
entrance                            1
equipment                           3
errors                              1
escape                              4
especially                          1
esq                                 1
est                                 1
even                               20
evening                             2
ever                               22
every                              12
everybody                           6
everything                         10
everything’s                        1
evidence                            8
evidently                           1
exact                               1
exactly                             6
examining                           1
excellent                           2
except                              7
exclaimed                           6
exclamation                         1
exclusion                           1
execute                             1
executed                            6
executes                            1
execution                           2
executioner                         5
executioner’s                       1
executions                          2
execution—once                      1
executive                           1
exempt                              2
existence                           1
exists                              1
expected                            1
expecting                           3
expend                              1
expense                             1
expenses                            2
experiment                          2
explain                             8
explained                           1
explanation                         4
exporting                           1
express                             1
expressing                          1
expression                          1
extent                              1
extraordinary                       2
extras                              1
extremely                           1
extremely—                          1
eye                                 7
eyelids                             1
eyes                               27
eyes.—“tell                         1
eyes—and                            1
e—e—evening                         3
face                               14
faces                               5
face—and                            1
facility                            1
fact                                8
fading                              1
failure                             1
faint                               1
fainting                            1
faintly                             1
fair                                1
fairbanks                           2
fairly                              1
fairy-tales                         1
fall                                7
fallen                              4
falling                             2
familiarly                          1
family                              1
fan                                10
fancied                             2
fancy                               5
fancying                            1
fancy—who’s                         1
fanned                              1
fanning                             1
far                                13
farm-yard—while                     1
farmer                              1
farther                             1
fashion                             2
fast                                4
faster                              3
fat                                 1
father                              6
favoured                            1
favourite                           1
fear                                4
feared                              1
feather                             1
feathers                            1
federal                             2
fee                                 8
feeble                              2
feebly                              1
feel                                8
feeling                             7
feelings                            2
fees                                4
feet                               19
fell                                6
fellow                              4
fellows                             1
felt                               23
fender                              1
ferrets                             2
fetch                               5
few                                10
fidgeted                            1
field                               1
fifteen                             1
fifth                               1
fig                                 1
fight                               2
fighting                            1
figure                              3
figures                             1
file                                2
files                               2
filled                              3
fills                               1
financial                           1
find                               21
finding                             3
finds                               1
fine                                2
finger                              5
finish                              5
finished                           12
finishing                           1
fire                                3
fire-irons                          1
fireplace                           1
first                              48
first—they                          1
first—verdict                       1
fish                                3
fish)—and                           1
fish-footman                        2
fishes                              1
fit                                 2
fit_—’                              1
fitness                             1
fits                                1
fitted                              1
five                                8
fix                                 2
fixed                               1
flame                               1
flamingo                            5
flamingoes                          1
flapper                             1
flappers                            1
flashed                             1
flat                                2
flavour                             1
flew                                1
flinging                            1
flock                               1
floor                               3
flower-beds                         1
flower-pot                          1
flowers                             2
flown                               1
flung                               1
flurry                              1
flustered                           1
fluttered                           1
fly                                 3
flying                              1
folded                              3
folding                             1
follow                              3
followed                            8
following                           3
follows                             2
follows:—                           1
fond                                3
fond—of—of                          1
foolish                             1
foot                               10
footman                            10
footman’s                           1
footmen                             1
footsteps                           2
for                               170
for?’                               1
forehead                            2
forepaws                            1
forget                              2
forgetting                          3
forgot                              2
forgotten                           6
fork                                1
form                                5
format                              4
formats                             2
forth                               8
fortunately                         1
forty                               1
forty-two                           1
forwards                            1
found                              32
foundation                         22
foundation's                        3
fountains                           2
four                                6
fourth                              1
france—                             1
free                                8
freely                              4
french                              3
friend                              3
friends                             2
fright                              2
frighten                            1
frightened                          7
frog                                2
frog-footman                        1
from                               51
front                               2
frontispiece                        1
frowning                            4
frying-pan                          1
fulcrum                             1
full                               19
fumbled                             1
fun                                 3
funny                               3
fur                                 3
furious                             1
furiously                           1
furrow                              1
furrows                             1
further                             4
fury                                2
future                              3
gained                              1
gallons                             1
game                               12
games                               1
game’s                              1
garden                             14
garden_.’                           1
gardeners                           8
garden—how                          1
gather                              1
gave                               15
gay                                 1
gazing                              1
gbnewby@pglaf.org                   1
general                             6
generally                           7
generations                         2
gently                              3
geography                           1
get                                43
getting                            22
get’                                1
giddy                               2
girl                                4
girls                               3
give                               13
given                               2
giving                              2
glad                               11
glanced                             1
glaring                             1
glass                               9
globe                               1
gloomily                            1
gloves                             10
gloves—that                         1
go                                 48
goals                               1
goes                                7
going                              27
golden                              7
goldfish                            2
gone                               13
good                               24
good-bye                            1
good-natured                        1
good-naturedly                      1
goose                               2
got                                45
govern                              1
graceful                            1
grammar                             1
grand                               3
grant                               1
granted                             1
grass                               4
gratefully                          1
grave                               3
gravely                             3
gravy                               1
grazed                              1
great                              39
green                               4
gregory                             1
grew                                1
grey                                1
grief                               1
grin                                6
grinned                             3
grinning                            1
grins                               1
gross                               1
ground                              4
ground—and                          1
group                               1
grow                               13
growing                            11
growl                               3
growled                             1
growling                            1
growls                              1
grown                               7
grumbled                            1
grunt                               1
grunted                             4
gryphon                            55
guard                               1
guess                               3
guessed                             3
guests                              3
guilt                               1
guinea-pig                          2
guinea-pigs                         4
gutenberg                          30
gutenberg-tm                       56
gutenberg-tm's                      1
gutenberg’s                         1
had                               178
hadn’t                              7
hair                                7
half                               21
half-past                           2
hall                                9
hand                               19
handed                              3
hands                              12
handsome                            1
handwriting                         1
hanging                             3
happen                              8
happened                            7
happening                           1
happens                             5
happy                               1
hard                                8
hardly                             12
hare                               31
harm                                1
harmless                            1
hart                                1
has                                 9
hasn’t                              2
haste                               1
hastily                            16
hat                                 1
hatching                            1
hate                                1
hated                               1
hate—c                              1
hatter                             55
hatters                             1
hatter’s                            1
have                               84
haven’t                             8
having                             10
he                                115
head                               46
head!’                              1
heads                              10
head—                               1
head—brandy                         1
head’s                              1
heap                                1
hear                               15
heard                              30
hearing                             4
heart                               2
hearth                              1
hearthrug                           1
hearts                              8
heavy                               2
hedge                               2
hedgehog                            7
hedgehogs                           3
hedges                              1
heels                               1
height                              5
held                                4
help                               12
helped                              1
helpless                            1
her                               248
here                               45
hers                                3
herself                            83
hers—she                            1
he’d                                1
he’ll                               1
he’s                                1
hid                                 1
hide                                1
high                               16
highest                             1
him                                41
himself                             6
him—how                             1
him—it                              1
hint                                2
hippopotamus                        1
his                                95
hiss                                1
histories                           1
history                             7
hit                                 2
hoarse                              3
hoarsely                            1
hold                                7
holder                              4
holding                             3
holiday                             1
hollow                              1
home                                5
honest                              1
honour                              4
hookah                              5
hope                                4
hoped                               1
hopeful                             1
hopeless                            1
hoping                              3
hot                                 5
hot-tempered                        1
hour                                2
hours                               4
house                              18
housemaid                           1
houses                              1
how                                50
however                            20
howled                              1
howling                             3
http://www.gutenberg.org/1/11       1
humble                              1
humbly                              2
hundred                             1
hundreds                            1
hung                                1
hungry                              3
hunting                             3
hurried                            11
hurriedly                           2
hurry                              11
hurrying                            1
hurt                                3
hush                                2
hypertext                           1
i                                 269
idea                               15
identification                      1
identify                            1
idiotic                             1
if                                 95
if—if                               1
ignorant                            1
ii                                  2
iii                                 2
ill                                 2
illustration                        1
imagine                             2
imitated                            1
immediate                           3
immediately                         3
immense                             1
impatient                           1
impatiently                         5
impertinent                         1
implied                             2
important                           5
imposed                             1
impossible                          3
improve                             1
in                                426
inaccurate                          1
incessantly                         1
inches                              6
incidental                          1
inclined                            1
include                             1
included                            3
includes                            1
including                           8
incomplete                          1
increasing                          1
indeed                             15
indeed:—                            1
indemnify                           1
indemnity                           1
indicate                            1
indicating                          1
indignant                           1
indignantly                         4
indirect                            1
indirectly                          1
individual                          4
information                         9
infringement                        1
injure                              1
ink                                 1
inkstand                            1
inquired                            1
inquisitively                       1
inside                              2
insolence                           1
instance                            3
instantly                           5
instead                             3
insult                              1
intellectual                        2
interest                            1
interesting                         5
internal                            1
international                       1
interpreted                         1
interrupt                           1
interrupted                         9
interrupting                        2
into                               67
introduce                           2
introduced                          1
invalidity                          1
invent                              1
invented                            1
invitation                          2
invited                             2
involved                            1
inwards                             1
irritated                           1
irs                                 1
is                                120
isn’t                               7
is—                                 1
is—oh                               1
is—‘be                              1
is—‘birds                           1
is—‘oh                              1
is—‘take                            1
is—‘the                             1
it                                507
it!—_that                           1
its                                62
itself                             14
it—                                 1
it—once                             1
it’ll                               7
it’s                               31
iv                                  2
ix                                  2
i—                                  1
i’d                                 7
i’ll                               24
i’m                                37
i’ve                               20
jack-in-the-box                     1
jar                                 2
jaw                                 1
jaws                                2
jelly-fish                          1
jogged                              1
join                                9
joined                              3
journey                             1
joys                                1
judge                               4
judging                             1
jumped                              6
jumping                             4
june                                1
juror                               1
jurors                              4
jury                               15
jury,’                              1
jury-box                            4
jurymen                             4
jury—                               1
just                               48
justice                             1
keep                               11
keeping                             4
kept                               13
kettle                              1
key                                 9
kick                                3
kid                                 5
kill                                1
killing                             1
kills                               1
kind                                8
kindly                              2
king                               61
kings                               1
king’s                              2
kiss                                1
kissed                              1
kitchen                             4
knave                               9
knee                                5
kneel                               1
knelt                               1
knew                               15
knife                               2
knock                               1
knocked                             1
knocking                            3
knot                                2
know                               82
knowing                             2
knowledge                           3
known                               1
knows                               2
know—                               4
know—and                            1
know—no                             1
knuckles                            1
label                               2
labelled                            1
lacie                               1
lad!—here                           1
ladder?—why                         1
lady                                3
laid                                2
lake                                1
lamps                               1
land                                1
language                            1
languid                             1
lap                                 2
large                              33
larger                              7
largest                             1
lark                                1
last                               33
lasted                              2
lastly                              1
late                                6
lately                              1
later                               3
latin                               1
latitude                            2
laugh                               1
laughed                             2
laughing                            2
laughter                            1
law                                 9
laws                               10
lay                                 4
lazily                              1
lazy                                1
leaders                             1
leading                             1
leaning                             2
leant                               1
leap                                1
learn                               8
learned                             1
learning                            2
learnt                              2
least                               8
least—at                            1
leave                               7
leaves                              6
leaving                             1
led                                 4
ledge                               1
left                               14
lefthand                            2
legal                               2
legally                             1
legs                                3
length                              1
less                                4
lessen                              1
lesson                              1
lesson-book                         1
lesson-books                        1
lessons                            10
lest                                1
let                                13
letter                              3
letters                             1
let’s                               3
lewis                               4
liability                           3
liable                              1
library                             1
license                            15
licensed                            1
licking                             1
lie                                 2
lieu                                2
life                               12
lifted                              1
like                               84
liked                               6
likely                              4
likes                               1
like’                               1
limbs                               1
limitation                          3
limited                             5
line                                2
lines                               1
linked                              2
links                               3
lips                                1
list                                3
listen                              7
listened                            1
listeners                           1
listening                           3
lit                                 1
literary                           13
little                            128
little_—’                           1
live                                8
lived                               3
livery                              3
lives                               2
living                              1
lizard                              5
lizard’s                            1
llc                                 1
lobster                             7
lobsters                            7
lobster—                            1
located                             7
locations                           2
lock                                1
locked                              1
locks                               2
lodging                             1
london                              1
lonely                              2
long                               34
longed                              2
longer                              3
longitude                           2
look                               27
look-out                            1
looked                             45
looking                            30
looking-glass                       1
loose                               2
lory                                7
lose                                1
losing                              1
lost                                3
lot                                 1
loud                                6
louder                              1
loudly                              3
love                                3
loveliest                           1
lovely                              2
loving                              1
low                                14
low-spirited                        1
lower                               1
lowing                              1
luckily                             2
lullaby                             1
lying                               8
m                                   2
ma                                  2
mabel                               4
machine                             1
machines                            1
mad                                15
made                               30
mad—at                              1
magic                               1
magpie                              1
mailing                             1
main                                1
maintaining                         1
majesty                            12
make                               29
makes                              12
making                              8
mallets                             1
man                                 5
manage                              7
managed                             4
managing                            1
manner                              2
manners                             1
many                               14
maps                                1
march                              33
marched                             1
march—just                          1
mark                                3
marked                              8
marmalade                           1
mary                                3
master                              3
matter                              9
matters                             2
maximum                             1
may                                27
maybe                               1
mayn’t                              1
ma’am                               1
me                                 68
meal                                1
mean                               10
meaning                             8
means                               7
means—to—make—anything—prettier     1
meant                               5
meanwhile                           1
measure                             1
meat                                1
medium                              5
meekly                              2
meet                                3
meeting                             1
melancholy                          6
memorandum                          1
memory                              1
mentioned                           3
merchantability                     1
mercia                              2
merely                              2
merrily                             1
messages                            2
met                                 4
method                              1
methods                             1
mice                                3
mice—oh                             1
michael                             1
middle                              7
middle-aged                         1
might                              28
mile                                2
miles                               3
milk                                1
milk-jug                            1
millennium                          1
mind                               10
minded                              1
minding                             1
mine                                7
mineral                             1
mine—a                              1
minute                             21
minutes                            11
mischief                            1
miserable                           2
miss                                3
missed                              2
mission                             4
mississippi                         1
mistake                             3
mixed                               2
mock                               57
moderate                            1
modern                              1
modification                        1
modified                            1
moment                             29
moment’s                            2
money                               3
month                               2
moon                                1
moral                               7
morals                              1
morcar                              2
more                               49
more—as                             1
morning                             5
morsel                              1
most                               14
mostly                              2
mournful                            1
mournfully                          1
mouse                              37
mouse-traps                         1
mouse—a                             1
mouse—o                             1
mouse—of                            1
mouse—to                            1
mouse’s                             1
mouth                              10
mouths                              3
mouths—and                          1
move                                3
moved                               5
moving                              3
much                               51
muchness                            1
muchness—you                        1
muchness”—did                       1
muddle                              1
multiplication                      1
murder                              1
murdering                           1
muscular                            1
mushroom                            8
music                               3
must                               54
mustard                             2
mustard-mine                        1
muttered                            2
muttering                           3
my                                 56
myself                              7
mystery                             1
m—                                  2
name                               11
named                               1
names                               2
narrow                              2
nasty                               1
natural                             4
near                               15
nearer                              5
nearly                             12
neat                                1
neatly                              2
necessarily                         1
neck                                7
need                                1
needn’t                             3
needs                               1
negligence                          1
neighbour                           1
neighbouring                        1
neither                             2
nervous                             5
nest                                1
network                             1
never                              43
never-ending                        1
nevertheless                        1
new                                 8
newby                               1
newsletter                          1
newspapers                          1
next                               30
nibbled                             2
nibbling                            3
nice                                6
nicely                              2
night                               3
night-air                           1
nile                                1
nine                                4
no                                 84
nobody                              6
nodded                              1
noise                               3
noises                              1
non                                 1
none                                4
nonproprietary                      1
nonsense                            6
nor                                 2
normans—’                           1
north                               1
northumbria                         1
northumbria—’                       1
nose                                7
nose—                               1
not                               161
note-book                           2
nothing                            30
notice                              8
noticed                             8
noticing                            1
notifies                            1
notion                              3
now                                48
nowhere                             2
now—but                             1
now—don’t                           1
number                              8
numerous                            1
nurse                               2
nurse—and                           1
nursing                             3
o                                   1
obliged                             3
oblong                              1
obsolete                            1
obstacle                            1
obtain                              3
obtaining                           2
occasional                          1
occasionally                        1
occur                               1
occurred                            2
october                             1
odd                                 1
of                                619
off                                64
offend                              1
offended                           10
offer                               2
offers                              1
office                              2
officer                             1
officers                            4
official                            3
off—                                1
often                               6
oh                                 15
ointment—one                        1
old                                21
older                               2
oldest                              1
on                                202
on!’                                1
once                               30
one                                97
one--the                            1
ones                                1
oneself                             1
one—but                             1
one’s                               1
onions                              1
online                              4
only                               47
open                                7
opened                             10
opening                             3
opinion                             1
opportunities                       1
opportunity                         9
opposite                            1
or                                147
order                               3
ordered                             4
ordering                            2
organized                           1
original                            1
originator                          1
ornamented                          2
other                              55
others                              8
otherwise                           3
otherwise.’                         1
other—bill                          1
ought                              14
our                                12
ours                                1
ourselves                           1
out                               113
out-of-the-way                      3
out.’                               1
outdated                            1
outside                             7
over                               40
overcome                            1
overhead                            1
owed                                1
owl                                 3
own                                10
owner                               5
owns                                2
oyster                              1
o’clock                             3
p                                   1
pace                                1
pack                                5
page                                2
pages                               1
paid                                6
paint                               1
painting                            2
pair                                5
pairs                               1
pale                                4
panted                              1
panther                             3
panting                             2
paper                               5
paperwork                           1
paragraph                          11
paragraphs                          3
parchment                           2
pardon                              6
pardoned                            1
paris                               2
part                                6
particular                          5
particularly                        1
particular—here                     1
partner                             1
partners—                           1
parts                               3
party                               9
pass                                1
passage                             4
passed                              5
passing                             1
passion                             3
passionate                          1
past                                1
pat                                 2
patience                            1
patiently                           2
patriotic                           1
patted                              1
pattering                           3
pattern                             1
pause                               2
paused                              1
paw                                 3
paws                                4
pay                                 1
paying                              2
payments                            3
pebbles                             2
peeped                              3
peeping                             1
peering                             1
pegs                                1
pence                               1
pencil                              1
pencils                             1
pennyworth                          1
people                             16
pepper                              7
pepper-box                          1
perfectly                           4
perform                             1
performances                        1
performed                           1
performing                          3
perhaps                            14
periodic                            1
permanent                           1
permission                          7
permitted                           3
persisted                           2
person                              8
personal                            2
persons                             1
pet                                 1
pg                                  1
pglaf                               1
phrase                              4
physical                            2
picked                              3
picking                             2
picture                             1
pictured                            1
pictures                            4
pie                                 1
pie-crust                           1
piece                               5
pieces                              3
pie—                                1
pig                                 9
pig-baby                            1
pigeon                             12
pigs                                2
pinch                               2
pinched                             2
pine-apple                          1
pink                                1
piteous                             1
pitied                              1
pity                                2
pity!’                              1
place                               9
placed                              1
places                              1
places—_all                         1
plain                               2
plainly                             1
plan                                4
planning                            1
plate                               3
plates                              2
play                                8
played                              1
players                             4
playing                             2
pleaded                             3
pleasant                            1
pleasanter                          1
please                             18
pleased                             7
